year,obs.hours,species,spcode,count,habitat types,diet index,mass kg,northern latitude,generation time,popest,diet spec,human tolerance,migration,habitat spec,DDT susc,forest dependence,mass g
1962,650,BAEA,2,35,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1962,650,BWHA,4,8254,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1962,650,COHA,5,77,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1962,650,GOEA,6,37,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1962,650,MERL,7,20,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1962,650,NOGO,8,34,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1962,650,NOHA,9,182,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1962,650,OSPR,10,295,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1962,650,PEFA,11,30,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1962,650,RLHA,12,7,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1962,650,RSHA,13,271,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1962,650,RTHA,14,2772,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1962,650,SSHA,15,2181,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1963,718,AMKE,1,260,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1963,718,BAEA,2,21,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1963,718,BWHA,4,9791,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1963,718,COHA,5,74,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1963,718,GOEA,6,23,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1963,718,MERL,7,26,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1963,718,NOGO,8,26,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1963,718,NOHA,9,175,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1963,718,OSPR,10,186,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1963,718,PEFA,11,21,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1963,718,RLHA,12,6,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1963,718,RSHA,13,198,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1963,718,RTHA,14,3402,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1963,718,SSHA,15,1518,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1964,711,AMKE,1,235,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1964,711,BAEA,2,27,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1964,711,BWHA,4,10180,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1964,711,COHA,5,61,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1964,711,GOEA,6,24,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1964,711,MERL,7,10,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1964,711,NOGO,8,17,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1964,711,NOHA,9,185,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1964,711,OSPR,10,324,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1964,711,PEFA,11,19,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1964,711,RLHA,12,14,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1964,711,RSHA,13,217,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1964,711,RTHA,14,2626,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1964,711,SSHA,15,1259,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1965,688,AMKE,1,391,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1965,688,BAEA,2,36,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1965,688,BWHA,4,9235,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1965,688,COHA,5,100,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1965,688,GOEA,6,34,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1965,688,MERL,7,20,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1965,688,NOGO,8,102,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1965,688,NOHA,9,182,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1965,688,OSPR,10,452,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1965,688,PEFA,11,13,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1965,688,RLHA,12,4,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1965,688,RSHA,13,300,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1965,688,RTHA,14,3297,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1965,688,SSHA,15,3103,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1966,575,AMKE,1,539,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1966,575,BAEA,2,25,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1966,575,BWHA,4,10110,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1966,575,COHA,5,82,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1966,575,GOEA,6,12,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1966,575,MERL,7,21,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1966,575,NOGO,8,22,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1966,575,NOHA,9,160,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1966,575,OSPR,10,388,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1966,575,PEFA,11,22,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1966,575,RLHA,12,3,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1966,575,RSHA,13,197,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1966,575,RTHA,14,2126,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1966,575,SSHA,15,2883,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1967,552,AMKE,1,554,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1967,552,BAEA,2,30,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1967,552,BWHA,4,8000,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1967,552,COHA,5,76,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1967,552,GOEA,6,30,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1967,552,MERL,7,16,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1967,552,NOGO,8,25,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1967,552,NOHA,9,147,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1967,552,OSPR,10,380,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1967,552,PEFA,11,16,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1967,552,RLHA,12,5,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1967,552,RSHA,13,140,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1967,552,RTHA,14,1854,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1967,552,SSHA,15,2330,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1968,511,AMKE,1,592,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1968,511,BAEA,2,41,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1968,511,BWHA,4,14041,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1968,511,COHA,5,145,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1968,511,GOEA,6,27,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1968,511,MERL,7,13,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1968,511,NOGO,8,182,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1968,511,NOHA,9,240,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1968,511,OSPR,10,209,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1968,511,PEFA,11,12,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1968,511,RLHA,12,5,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1968,511,RSHA,13,273,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1968,511,RTHA,14,3765,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1968,511,SSHA,15,2253,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1969,817,AMKE,1,537,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1969,817,BAEA,2,30,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1969,817,BWHA,4,8515,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1969,817,COHA,5,111,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1969,817,GOEA,6,22,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1969,817,MERL,7,27,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1969,817,NOGO,8,124,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1969,817,NOHA,9,221,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1969,817,OSPR,10,338,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1969,817,PEFA,11,17,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1969,817,RLHA,12,13,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1969,817,RSHA,13,186,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1969,817,RTHA,14,3366,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1969,817,SSHA,15,2670,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1970,459,AMKE,1,409,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1970,459,BAEA,2,25,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1970,459,BWHA,4,9153,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1970,459,COHA,5,105,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1970,459,GOEA,6,15,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1970,459,MERL,7,15,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1970,459,NOGO,8,75,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1970,459,NOHA,9,249,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1970,459,OSPR,10,348,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1970,459,PEFA,11,17,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1970,459,RLHA,12,10,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1970,459,RSHA,13,130,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1970,459,RTHA,14,2503,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1970,459,SSHA,15,1906,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1971,320,AMKE,1,365,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1971,320,BAEA,2,14,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1971,320,BWHA,4,5603,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1971,320,COHA,5,69,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1971,320,GOEA,6,23,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1971,320,MERL,7,12,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1971,320,NOGO,8,33,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1971,320,NOHA,9,136,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1971,320,OSPR,10,264,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1971,320,PEFA,11,9,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1971,320,RLHA,12,7,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1971,320,RSHA,13,87,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1971,320,RTHA,14,1781,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1971,320,SSHA,15,2135,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1972,437,AMKE,1,393,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1972,437,BAEA,2,14,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1972,437,BWHA,4,8131,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1972,437,COHA,5,114,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1972,437,GOEA,6,33,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1972,437,MERL,7,7,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1972,437,NOGO,8,347,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1972,437,NOHA,9,154,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1972,437,OSPR,10,272,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1972,437,PEFA,11,6,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1972,437,RLHA,12,6,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1972,437,RSHA,13,123,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1972,437,RTHA,14,3463,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1972,437,SSHA,15,2233,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1973,518,AMKE,1,479,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1973,518,BAEA,2,17,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1973,518,BWHA,4,6404,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1973,518,COHA,5,81,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1973,518,GOEA,6,46,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1973,518,MERL,7,13,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1973,518,NOGO,8,307,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1973,518,NOHA,9,177,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1973,518,OSPR,10,346,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1973,518,PEFA,11,9,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1973,518,RLHA,12,8,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1973,518,RSHA,13,116,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1973,518,RTHA,14,3098,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1973,518,SSHA,15,3347,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1974,531,AMKE,1,434,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1974,531,BAEA,2,13,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1974,531,BWHA,4,9146,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1974,531,COHA,5,150,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1974,531,GOEA,6,27,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1974,531,MERL,7,10,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1974,531,NOGO,8,61,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1974,531,NOHA,9,163,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1974,531,OSPR,10,183,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1974,531,PEFA,11,7,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1974,531,RLHA,12,17,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1974,531,RSHA,13,182,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1974,531,RTHA,14,3658,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1974,531,SSHA,15,4477,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1975,490,AMKE,1,487,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1975,490,BAEA,2,19,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1975,490,BWHA,4,10390,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1975,490,COHA,5,126,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1975,490,GOEA,6,27,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1975,490,MERL,7,19,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1975,490,NOGO,8,136,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1975,490,NOHA,9,267,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1975,490,OSPR,10,196,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1975,490,PEFA,11,6,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1975,490,RLHA,12,9,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1975,490,RSHA,13,205,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1975,490,RTHA,14,2880,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1975,490,SSHA,15,5354,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1976,557,AMKE,1,413,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1976,557,BAEA,2,18,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1976,557,BWHA,4,8461,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1976,557,COHA,5,109,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1976,557,GOEA,6,40,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1976,557,MERL,7,20,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1976,557,NOGO,8,62,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1976,557,NOHA,9,248,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1976,557,OSPR,10,314,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1976,557,PEFA,11,8,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1976,557,RLHA,12,13,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1976,557,RSHA,13,167,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1976,557,RTHA,14,3694,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1976,557,SSHA,15,5376,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1977,541,AMKE,1,705,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1977,541,BAEA,2,19,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1977,541,BWHA,4,13009,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1977,541,COHA,5,231,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
1977,541,GOEA,6,28,9,0.42,4.38,74.2,17.3,63000,specialist,intolerant,partial,generalist,susceptible,low,4200
1977,541,MERL,7,27,6,0.69,0.19,68.7,5.7,1600000,specialist,tolerant,partial,generalist,susceptible,low,222
1977,541,NOGO,8,85,4,1.05,0.99,68.8,7,210000,generalist,intolerant,partial,specialist,susceptible,high,990
1977,541,NOHA,9,288,7,1.23,0.42,68,7.8,820000,generalist,intolerant,partial,specialist,susceptible,low,447
1977,541,OSPR,10,340,15,0.02,2.4,66.6,11.6,400000,specialist,tolerant,complete,specialist,susceptible,low,1570
1977,541,PEFA,11,11,16,0.27,0.72,73.9,6.8,37000,specialist,tolerant,partial,generalist,susceptible,low,794
1977,541,RLHA,12,17,5,0.57,1.08,74.2,10,300000,specialist,intolerant,complete,specialist,non-susceptible,low,951
1977,541,RSHA,13,266,3,1.48,0.62,47.4,8.3,1800000,generalist,tolerant,partial,specialist,susceptible,medium,625
1977,541,RTHA,14,3504,11,0.98,1.09,68.5,9.2,2800000,specialist,tolerant,partial,generalist,non-susceptible,low,1126
1977,541,SSHA,15,10612,9,0.33,0.14,68.9,7.2,410000,specialist,intolerant,partial,specialist,susceptible,medium,165.5
1978,664,AMKE,1,370,11,0.8,0.12,66.5,5.7,2800000,specialist,tolerant,partial,specialist,susceptible,low,115.5
1978,664,BAEA,2,27,11,1.02,4.65,68.9,17.2,200000,generalist,tolerant,partial,generalist,susceptible,low,4790
1978,664,BWHA,4,29519,3,1.46,0.41,55.2,9.3,1800000,generalist,intolerant,complete,specialist,non-susceptible,medium,397
1978,664,COHA,5,153,4,1.05,0.45,54.1,7.2,840000,generalist,tolerant,partial,generalist,susceptible,medium,452
